YEAR,FLW,AL,MS,LA,TX
1981,80071.64175,192250.7971,0,324849.2726,0
1982,384741.1356,481367.2828,132037.5997,1208274.455,0
1983,348765.5734,1274261.198,0,859162.8242,12083
1984,63349.11605,200036.3115,0,2416800.913,1069
1985,38244.09826,552668.3527,0,1488775.512,13463
1986,1588329.817,312188.3279,149.4775017,230973.7225,352077
1987,564659.5588,207705.0699,273.8161614,204442.606,393745
1988,517086.7397,472945.7087,6765.451099,112628.5951,536388
1989,186006.9242,472217.0148,5171.355752,137792.516,943384
1990,170383.6834,298607.07,14334.92632,176187.126,317265
1991,282866.6243,419253.3566,10717.03468,938862.8293,379452
1992,226197.5428,535591.4495,9262.345647,651090.9988,758662
1993,1101330.03,1039473.717,80125.88104,691333.7082,1175852
1994,746424.1588,753513.802,116984.3781,650884.47,1300998
1995,519558.6165,815018.6264,4175.389367,665337.3646,1166307
1996,883262.3998,1021142.414,42686.00003,360639.4365,1203382
1997,950662.4688,1361335.528,83124.33601,463999.0946,1060943
1998,1330670.915,900675.5101,12665.73023,204453.2904,880327
1999,1058906.016,550068.3198,11762.58141,189695.1082,431167
2000,1150900.105,674864.3761,16022.93021,193551.8518,561227
2001,1048769.224,850387.0404,20819.61053,87176.64034,390820
2002,1491331.964,1022795.229,64973.42016,294638.3279,610854
2003,1257658.908,958024.235,40501.6724,297522.0886,553179
2004,1643246.388,754153.4958,6580.125753,321669.5576,535994
2005,1060427.547,642589.4336,0,401268.0697,395903
2006,1020657.025,577589.4812,3371.405826,360261.8321,477006
2007,1510880.869,592660.8219,0,223766.3065,338494
2008,997129.0418,303943.4159,1650.762895,261656.6461,193172.6452
2009,1118657.178,373584.2778,0,252340.838,489925.432
2010,478956.7409,74540.05504,10833.78497,1654,296675.2131
2011,981892.4082,478760.6553,10029.89022,61898.75222,310157.2166
2012,1025319.834,503927.2084,7300.207726,257343.6973,445429.4825
2013,671641.9333,546564,3792,100438,234549.1475
2014,184956.5,152614,1693,33909.40984,193705
2015,865058.3846,757388.4516,10485,155668.7467,365076.7848
2016,822598.5,763510.8065,18720.98618,179586.1089,358398.8086
