YEAR,FL,AL,MS,LA,TX
1986,82192,10022,70,18034,30506.84482
1987,23630,6236,58,9937,45764.30976
1988,108919,14211,695,6057,44561.55601
1989,77877,27648,978,5155,44319.79894
1990,52575,22540,700,11659,39741.14256
1991,49307,23261,289,20242,39806.21106
1992,80152,26535,398,12627,61553.11344
1993,156152,43797,6722,18806,68533
1994,138040,35018,8913,16028,77893.57209
1995,72574,42196,955,23629,71093.29443
1996,103603,42287,5373,14708,67840.21923
1997,165685,65910,5315,13055,54886.5603
1998,211197,50672,2237,8750,62981.4721
1999,144607,56159,2674,4427,33520.5705
2000,127573,44062,1608,6588,42751.8783
2001,108493,41788,1560,7036,44921.71399
2002,121460,48822,3067,7395,53287.13286
2003,111765,45391,3093,11146,45022.68672
2004,128944,58971,968,30091,49367.39918
2005,118649,44278,0,21504,51698.39095
2006,123591,52862,0,33695,60408.38365
2007,114416,52703,0,22936,58868.4745
2008,134337,38138,0,14881,16384.88862
2009,135591,41937,0,14623,39358.82837
2010,55505,7803,426,130,31950.37805
2011,106365,41522,818,4221,29401.35399
2012,115928,34459,652,11353,30668.29333
2013,110782,42438,552,9077,26584.88008
2014,90991,29227,292,3110.882977,21061.71626
2015,140881,52417,908,8848.503793,34210.39
2016,146847,57108,2001,10316.68952,32525.19239
