YEAR,FLW,AL,MS,LA,TX
1981,532522.2436,942487.6832,0,3043071.553,195943
1982,326659.4653,656002.731,17583.68905,819362.1649,0
1983,39446.9624,567185.1123,21313.37286,2327094.422,68340
1984,74960.18057,134447.9504,1435.108296,427962.1076,65621
1985,356365.5168,153218.3405,4314.335828,102683.026,645359
1986,335079.1558,88934.35161,3333.327464,397781.6189,173165
1987,332787.8834,179371.8897,53756.65126,76969.79859,60455
1988,421638.8222,43382.41858,12445.27585,925766.2303,85993
1989,176351.9812,71789.92922,336769.5287,570607.0833,37182
1990,118792.6771,340970.172,41105.32126,98627.717,42976
1991,129730.8645,458409.0403,168884.1788,29944.45423,72367
1992,144333.8708,966331.0944,733015.0145,440891.6139,82181
1993,136594.403,999221.0083,827117.3525,888121.9768,105635
1994,100144.823,1136159.967,374161.5963,647130.4604,201842
1995,45798.26751,919526.4751,151390.5976,832914.8271,289471
1996,110737.4624,730963.8556,170156.661,476777.709,286698
1997,56515.17322,1288722.372,549047.937,610486.8409,264841
1998,57090.22303,546058.7582,176348.1074,494503.8479,224600
1999,361676.1146,1425823.871,132035.9448,586835.0383,156918
2000,540008.2524,730732.4189,8567.748936,687928.4026,146519
2001,1047142.448,1370655.204,87634.07805,222333.0039,119065
2002,1034014.842,1598076.966,162577.6693,109925.1593,132557
2003,944187.1066,1357478.066,325327.4622,247209.5215,112954
2004,1841275.529,1183065.485,18990.70897,54610.67151,100658
2005,1182011.917,719236.1917,5221.555157,82981.9848,186278
2006,1085879.251,249365.7427,29437.28979,144582.1146,182982
2007,1784411.436,542032.5708,3399.484907,684662.696,128485
2008,1335796.386,391187.3809,37542.29579,376501.9973,157293.3548
2009,1511781.808,834328.67,43573.53986,802253.6843,170411.568
2010,1003150.674,490114.8104,0,131947.4664,159495.7869
2011,993879.9796,3127693.102,59447.869,538459.3692,171887.7834
2012,1420620.304,2197376.513,306853.6875,1188762.581,171307.5175
2013,3105730.067,3877683,418737,489204,254562.8525
2014,1459884.5,1006166,43425,557188.5902,201894
2015,766236.6154,1711420.548,34209,1059302.253,235305.2152
2016,1713798.5,2047404.194,354645.0138,1042388.891,135398.1914
