YEAR,FL,AL,MS,LA,TX
1986,20330,8085,4198,19716,14718.4755
1987,18107,11876,4252,14779,9633.461091
1988,45423,3890,5994,30081,10886.04455
1989,18306,12576,5170,40070,7084.041715
1990,10142,40569,4392,14470,10594.62855
1991,15381,37044,10086,2473,9738.112379
1992,9160,52250,27781,15870,11107.69387
1993,6512,79356,26969,46952,10818.66018
1994,4696,54877,14615,37262,18216.20129
1995,0,73098,18140,48844,25391.20461
1996,17401,50877,9860,30506,27544.15258
1997,2694,79648,27165,29205,28402.22684
1998,3416,38482,13816,17918,25646.28253
1999,32107,97555,7138,35726,18510.31308
2000,27729,67049,2202,25949,22252.18518
2001,62001,94220,8222,15690,15967.84649
2002,66561,90431,10546,8798,16792.79041
2003,83636,101401,14246,13646,14170.98995
2004,129099,67728,4240,13281,16317.82221
2005,76102,39455,1003,16435,15430.0845
2006,177469,20014,4150,25070,20976.79651
2007,136367,32943,1437,50896,11393.43728
2008,88854,22960,10261,30689,9914.377274
2009,134643,48392,10554,35509,10583.48124
2010,73595,16326,0,3338,5791.395265
2011,51033,86370,6169,14611,7601.101755
2012,77457,51794,13515,38413,6572.283604
2013,166239,176719,19478,31049,8288.857825
2014,50415,46909,3433,60145.59106,3173.052548
2015,11194,99446,2641,53165.24991,6367.49
2016,51488,124091,19446,43570.78344,4924.257669
