YEAR,FLW,AL,MS,LA,TX
1981,612593.8853,1134738.48,0,3367920.826,195943
1982,711400.601,1137370.014,149621.2888,2027636.62,0
1983,388212.5358,1841446.31,21313.37286,3186257.246,80423
1984,138309.2966,334484.2619,1435.108296,2844763.021,66690
1985,394609.6151,705886.6932,4314.335828,1591458.538,658822
1986,1923408.973,401122.6795,3482.804966,628755.3414,525242
1987,897447.4422,387076.9596,54030.46742,281412.4046,454200
1988,938725.5619,516328.1273,19210.72695,1038394.825,622381
1989,362358.9053,544006.944,341940.8845,708399.5994,980566
1990,289176.3605,639577.2419,55440.24758,274814.843,360241
1991,412597.4888,877662.3969,179601.2135,968807.2835,451819
1992,370531.4135,1501922.544,742277.3602,1091982.613,840843
1993,1237924.433,2038694.726,907243.2335,1579455.685,1281487
1994,846568.9817,1889673.769,491145.9744,1298014.93,1502840
1995,565356.884,1734545.102,155565.9869,1498252.192,1455778
1996,993999.8622,1752106.269,212842.6611,837417.1456,1490080
1997,1007177.642,2650057.9,632172.273,1074485.935,1325784
1998,1387761.138,1446734.268,189013.8376,698957.1382,1104927
1999,1420582.131,1975892.191,143798.5262,776530.1465,588085
2000,1690908.357,1405596.795,24590.67914,881480.2543,707746
2001,2095911.672,2221042.245,108453.6886,309509.6442,509885
2002,2525346.806,2620872.195,227551.0894,404563.4871,743411
2003,2201846.015,2315502.301,365829.1346,544731.6101,666133
2004,3484521.917,1937218.981,25570.83472,376280.2291,636652
2005,2242439.464,1361825.625,5221.555157,484250.0545,582181
2006,2106536.276,826955.2239,32808.69562,504843.9467,659988
2007,3295292.305,1134693.393,3399.484907,908429.0025,466979
2008,2332925.428,695130.7968,39193.05869,638158.6434,350466
2009,2630438.986,1207912.948,43573.53986,1054594.522,660337
2010,1482107.415,564654.8654,10833.78497,133601.4664,456171
2011,1975772.388,3606453.757,69477.75922,600358.1214,482045
2012,2445940.138,2701303.721,314153.8952,1446106.278,616737
2013,3777372,4424247,422529,589642,489112
2014,1644841,1158780,45118,591098,395599
2015,1631295,2468809,44694,1214971,600382
2016,2536397,2810915,373366,1221975,493797
