YEAR,FL,AL,MS,LA,TX
1986,102522,18107,4268,37750,45225.32032
1987,41737,18112,4310,24716,55397.77085
1988,154342,18101,6689,36138,55447.60056
1989,96183,40224,6148,45225,51403.84066
1990,62717,63109,5092,26129,50335.77111
1991,64688,60305,10375,22715,49544.32344
1992,89312,78785,28179,28497,72660.80731
1993,162664,123153,33691,65758,79351.66018
1994,142736,89895,23528,53290,96109.77338
1995,72574,115294,19095,72473,96484.49904
1996,121004,93164,15233,45214,95384.37181
1997,168379,145558,32480,42260,83288.78714
1998,214613,89154,16053,26668,88627.75463
1999,176714,153714,9812,40153,52030.88358
2000,155302,111111,3810,32537,65004.06348
2001,170494,136008,9782,22726,60889.56048
2002,188021,139253,13613,16193,70079.92327
2003,195401,146792,17339,24792,59193.67667
2004,258043,126699,5208,43372,65685.22139
2005,194751,83733,1003,37939,67128.47545
2006,301060,72876,4150,58765,81385.18016
2007,250783,85646,1437,73832,70261.91178
2008,223191,61098,10261,45570,26299.2659
2009,270234,90329,10554,50132,49942.30961
2010,129100,24129,426,3468,37741.77331
2011,157398,127892,6987,18832,37002.45574
2012,193385,86253,14167,49766,37240.57693
2013,277021,219157,20030,40126,34873.7379
2014,141406,76136,3725,63256.47404,24234.76881
2015,152075,151863,3549,62013.75371,40577.88
2016,198335,181199,21447,53887.47296,37449.45006
